epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.525,0.03125,1736,1136.16,54,740,0.001
0.525,0.03125,27688,454.637,54,948,0.0001
0.525,0.03125,52280,275.709,51,798,1e-05
0.371231,0.03125,1400,1327.67,50,577,0.1
0.371231,0.03125,1448,1103.42,49,578,0.01
0.371231,0.03125,2376,719.134,49,617,0.001
0.371231,0.03125,28328,271.058,51,757,0.0001
0.371231,0.03125,52920,228.007,55,819,1e-05
0.2625,0.03125,2680,696.207,53,623,0.1
0.2625,0.03125,2728,654.528,50,597,0.01
0.2625,0.03125,3656,477.451,50,608,0.001
0.2625,0.03125,29608,231.072,52,799,0.0001
0.2625,0.03125,54200,168.375,50,798,1e-05
