epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.05,0.03125,5160,2791.51,4407.98,7,611
0.02,0.015625,12336,1262.09,1991.11,7,680
0.002,0.015625,98352,93.1605,146.345,6,641
0.05,0.015625,6192,2749.04,4339.54,6,523
0.02,0.0078125,14392,1248.3,1969.59,8,525
0.002,0.0078125,114744,78.8328,127.348,7,529
0.05,0.0078125,7224,2720.57,4294.42,7,532
0.02,0.00390625,16448,826.384,1339.63,6,543
0.002,0.00390625,131136,81.2386,128.38,8,540
0.05,0.00390625,8256,2669.68,4214.8,8,538
0.02,0.00195312,18504,1163.63,1836.79,9,538
0.002,0.00195312,147528,82.2479,129.668,9,543
0.05,0.00195312,9288,2505.4,3959.12,10,537
0.02,0.000976562,20560,1192.21,1881.1,10,540
0.002,0.000976562,163920,67.5564,109.187,10,546
0.05,0.000976562,10320,2649.42,4181.47,10,541
0.02,0.000488281,22616,1164.8,1837.44,11,541
0.002,0.000488281,180312,79.8165,125.501,11,566
0.05,0.000488281,11352,2635.51,4160.15,12,552
0.02,0.000244141,24672,1062.74,1682.16,11,559
0.002,0.000244141,196704,76.456,120.367,12,564
0.05,0.000244141,12384,2601.19,4105.19,11,550
0.02,0.00012207,26728,1133.64,1789.26,11,558
0.002,0.00012207,213096,68.6773,108.889,15,561
0.05,0.00012207,13416,2566.14,4051.69,13,561
0.02,6.10352e-05,28784,1087.03,1718.02,13,560
0.002,6.10352e-05,229488,66.2589,105.612,13,565
0.05,6.10352e-05,14448,2410.5,3813.38,12,565
0.02,3.05176e-05,30840,1072.93,1695.71,13,565
0.002,3.05176e-05,245880,75.7854,119.086,13,584
0.05,3.05176e-05,15480,2606.12,4114.07,13,569
0.02,1.52588e-05,32896,1103.67,1742.19,13,581
0.002,1.52588e-05,262272,67.7727,107.303,14,583
0.05,1.52588e-05,16512,2554.43,4032.27,13,569
0.02,7.62939e-06,34952,1129.06,1781.3,15,569
0.002,7.62939e-06,278664,70.1682,110.656,16,587
0.05,7.62939e-06,17544,2382.1,3770.69,14,576
0.02,3.8147e-06,37008,1115.26,1760.24,15,587
0.002,3.8147e-06,295056,60.4036,96.8675,15,592
0.05,3.8147e-06,18576,2541.21,4011.52,15,588
0.02,1.90735e-06,39064,1061.33,1679.26,16,582
0.002,1.90735e-06,311448,64.1301,102.665,16,609
0.05,1.90735e-06,19608,2500.57,3947.36,15,589
0.02,0.25,4112,1511.85,2385.42,3,492
0.002,0.25,32784,139.734,219.34,3,506
0.05,0.25,2064,3147.96,4973.14,3,495
0.02,0.125,6168,1389.33,2189.98,5,512
0.002,0.125,49176,109.212,172.421,5,507
0.05,0.125,3096,3017.83,4762.05,4,518
0.02,0.0625,8224,1343.53,2119.28,7,563
0.002,0.0625,65568,106.75,167.492,5,630
0.05,0.0625,4128,2898.76,4574.53,5,610
0.02,0.03125,10280,1284.61,2027.74,6,516
0.002,0.03125,81960,100.428,157.631,6,521
0.05,0.03125,5160,2827.93,4465.46,6,518
0.02,0.015625,12336,1183.56,1870.02,6,523
0.002,0.015625,98352,91.5625,143.824,6,531
0.05,0.015625,6192,2767.17,4367.68,6,520
0.02,0.0078125,14392,1236.67,1951.19,7,517
0.002,0.0078125,114744,85.5132,135.389,7,532
0.05,0.0078125,7224,2751.24,4341.46,9,559
0.02,0.00390625,16448,1210.59,1910.63,8,611
0.002,0.00390625,131136,85.9576,135.103,8,605
0.05,0.00390625,8256,2369.91,3747.43,7,613
0.02,0.00195312,18504,1196.95,1888.21,11,656
0.002,0.00195312,147528,85.4024,134.186,10,668
0.05,0.00195312,9288,2673.76,4220.53,9,583
0.02,0.000976562,20560,1164.87,1838.66,10,555
0.002,0.000976562,163920,80.1592,126.104,11,549
0.05,0.000976562,10320,2551.19,4032.69,13,540
0.02,0.000488281,22616,1175.94,1854.45,12,558
0.002,0.000488281,180312,76.8867,121.05,11,550
0.05,0.000488281,11352,2537.42,4006.82,11,542
0.02,0.000244141,24672,1149.1,1813.48,12,546
