epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.00107422,0.002,294984,44.1795,39,579,0.1
0.00107422,0.002,295032,45.221,40,576,0.01
0.00107422,0.002,295960,45.0515,46,711,0.001
0.00107422,0.002,321912,37.4355,43,770,0.0001
0.00107422,0.002,346504,34.5507,41,764,1e-05
0.000537109,0.002,589896,15.2326,39,567,0.1
0.000537109,0.002,589944,15.3906,38,583,0.01
0.000537109,0.002,590872,15.2084,39,602,0.001
0.000537109,0.002,616824,13.5705,40,731,0.0001
0.000537109,0.002,641416,12.4624,41,759,1e-05
0.000268555,0.002,1179720,4.25361,40,583,0.1
0.000268555,0.002,1179768,4.45847,40,580,0.01
0.000268555,0.002,1180696,4.49698,40,601,0.001
0.000268555,0.002,1206648,4.0461,44,736,0.0001
0.000268555,0.002,1231240,4.1677,42,778,1e-05
0.000134277,0.002,2359368,1.00963,49,594,0.1
0.000134277,0.002,2359416,0.919889,40,642,0.01
0.000134277,0.002,2360344,0.858608,50,704,0.001
0.000134277,0.002,2386296,0.882455,42,762,0.0001
0.000134277,0.002,2410888,0.768701,42,784,1e-05
6.71387e-05,0.002,4718664,0.166252,41,651,0.1
6.71387e-05,0.002,4718712,0.00421635,41,614,0.01
6.71387e-05,0.002,4719640,0.0241095,41,641,0.001
6.71387e-05,0.002,4745592,0.00630575,42,759,0.0001
6.71387e-05,0.002,4770184,0.00780712,41,799,1e-05
