epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.034375,0.125,3096,4631.46,39,604,0.1
0.034375,0.125,3144,4567.63,34,586,0.01
0.034375,0.125,3208,4613.87,36,620,0.005
0.034375,0.125,4072,4313.01,36,627,0.001
0.034375,0.125,6296,3928.79,37,640,0.0005
0.034375,0.125,30024,2731.47,34,752,0.0001
0.034375,0.125,42664,2496.58,42,789,5e-05
0.034375,0.125,54616,2349.45,36,840,1e-05
0.0171875,0.125,6168,2176.83,43,640,0.1
0.0171875,0.125,6216,2149.86,34,618,0.01
0.0171875,0.125,6280,2098.44,36,573,0.005
0.0171875,0.125,7144,2047.89,33,606,0.001
0.0171875,0.125,9368,1901.88,41,628,0.0005
0.0171875,0.125,33096,1311.47,34,733,0.0001
0.0171875,0.125,45736,1206.23,35,761,5e-05
0.0171875,0.125,57688,1132.6,37,781,1e-05
0.00859375,0.125,12312,967.793,34,542,0.1
0.00859375,0.125,12360,964.853,35,569,0.01
0.00859375,0.125,12424,976.459,35,564,0.005
0.00859375,0.125,13288,933.029,34,566,0.001
0.00859375,0.125,15512,871.562,35,650,0.0005
0.00859375,0.125,39240,620.946,37,830,0.0001
0.00859375,0.125,51880,568.163,39,847,5e-05
0.00859375,0.125,63832,537.06,41,871,1e-05
0.00429688,0.125,24600,426.475,34,575,0.1
0.00429688,0.125,24648,476.04,41,588,0.01
0.00429688,0.125,24712,423.819,41,572,0.005
0.00429688,0.125,25576,412.348,38,615,0.001
0.00429688,0.125,27800,391.199,34,632,0.0005
0.00429688,0.125,51528,287.163,39,776,0.0001
0.00429688,0.125,64168,265.427,37,846,5e-05
0.00429688,0.125,76120,248.942,35,843,1e-05
0.00214844,0.125,49176,176.238,35,612,0.1
0.00214844,0.125,49224,176.659,35,594,0.01
0.00214844,0.125,49288,175.927,35,585,0.005
0.00214844,0.125,50152,173.886,35,599,0.001
0.00214844,0.125,52376,167.712,36,615,0.0005
0.00214844,0.125,76104,126.955,35,735,0.0001
0.00214844,0.125,88744,117.605,39,890,5e-05
0.00214844,0.125,100696,111.02,39,862,1e-05
0.00107422,0.125,98328,69.8028,42,633,0.1
0.00107422,0.125,98376,69.5371,34,629,0.01
0.00107422,0.125,98440,69.7537,41,655,0.005
0.00107422,0.125,99304,68.7272,37,649,0.001
0.00107422,0.125,101528,66.8491,34,656,0.0005
0.00107422,0.125,125256,53.3765,36,739,0.0001
0.00107422,0.125,137896,49.9075,35,766,5e-05
0.00107422,0.125,149848,46.8997,36,810,1e-05
0.000537109,0.125,196632,25.1773,36,550,0.1
0.000537109,0.125,196680,27.6749,34,575,0.01
0.000537109,0.125,196744,25.1745,34,557,0.005
0.000537109,0.125,197608,33.2049,40,628,0.001
0.000537109,0.125,199832,24.4678,38,642,0.0005
0.000537109,0.125,223560,20.6729,35,741,0.0001
0.000537109,0.125,236200,21.8984,37,749,5e-05
0.000537109,0.125,248152,18.265,35,782,1e-05
0.000268555,0.125,393240,8.69258,37,584,0.1
0.000268555,0.125,393288,7.98703,34,608,0.01
0.000268555,0.125,393352,9.99497,37,620,0.005
0.000268555,0.125,394216,8.40573,34,620,0.001
0.000268555,0.125,396440,10.1212,34,636,0.0005
